2086	0	3846
1601	1	3847
3355	2	3848
3798	0	3849
427	0	3850
3177	3	3851
79	2	3852
715	2	3853
1840	1	3854
1733	0	3849
1276	4	3855
484	2	3856
3738	5	3857
3738	6	3858
613	0	3859
1865	0	3860
432	1	3861
2241	7	3862
2241	8	3863
684	0	3864
643	1	3865
1613	4	3866
2741	1	3867
1475	1	3868
1059	2	3869
1438	0	3870
1580	2	3871
538	4	3872
152	1	3873
1443	0	3874
416	2	3875
3390	1	3876
3279	1	3877
1479	2	3878
68	1	3879
68	1	3880
383	2	3881
2635	1	3882
3831	0	3883
3384	1	3884
1163	0	3885
3661	1	3886
541	0	3887
829	0	3888
3827	2	3889
1153	1	3890
3444	0	3891
3425	0	3892
3317	2	3893
2141	1	3894
1324	4	3895
2786	2	3896
3539	0	3897
2359	2	3898
2370	4	3899
2125	2	3900
3792	2	3901
1473	2	3902
3529	9	3903
3784	10	3904
749	0	3864
2890	2	3905
789	1	3906
2726	2	3907
3109	1	3908
3498	1	3909
2913	2	3910
3729	2	3911
2622	2	3912
628	2	3913
472	4	3914
70	2	3915
447	0	3916
368	11	368
2636	1	3917
147	1	3918
1467	1	3919
3166	1	3920
2460	1	3921
79	1	3922
1840	2	3923
2517	0	3897
484	1	3924
3738	6	3925
3441	0	3926
119	12	3927
3248	13	3928
2241	7	3929
2241	7	3930
795	2	3931
1674	0	3932
591	2	3933
1656	1	3934
3031	2	3935
2880	1	3936
2275	2	3937
643	1	3938
2707	2	3939
2493	1	3940
538	1	3941
2547	4	3916
2008	0	3942
2843	2	3943
444	0	3944
2051	4	3945
2598	0	3946
176	0	3947
3544	1	3948
1057	1	3949
3822	1	3950
997	1	3951
1142	0	3952
3774	14	3953
1157	2	3954
2621	1	3955
3723	0	3956
540	2	3957
1719	2	3958
2725	3	3959
3582	2	3960
3759	0	3961
2953	2	3962
3645	4	3963
1325	15	3964
3792	2	3965
1529	4	3966
136	2	3967
2324	16	3968
2924	1	3969
2737	1	3970
2564	4	3971
3689	0	3972
539	2	3973
539	2	3974
2080	2	3975
2214	2	3886
508	2	3976
3498	1	3977
2913	1	3978
458	9	3979
628	1	3980
3695	11	3695
319	16	3981
1082	0	3982
2636	1	3983
2688	4	3984
484	2	3985
2638	0	3986
901	2	3987
2360	2	3988
2241	7	3989
2241	8	3990
534	1	3991
2741	0	3992
434	4	3993
1664	4	3994
2870	2	3995
3049	1	3996
3153	0	3997
3078	0	3897
3433	1	3998
2051	1	3999
1834	0	4000
3688	1	4001
1057	2	4002
1907	0	4003
2222	3	3851
379	1	4004
1633	2	4005
623	2	4006
1989	2	4007
651	0	4008
3832	4	4009
824	0	4010
492	1	4011
1010	9	4012
2359	4	4013
1473	2	4014
1412	1	4015
1625	2	4016
3109	1	4017
80	17	4018
1744	2	4019
447	9	4020
1601	2	4021
1601	1	4022
1846	1	3923
2636	1	4023
3185	0	4024
79	1	4025
2208	2	4026
3738	5	4027
3738	5	4028
949	18	4029
2241	7	4030
2241	8	4031
2241	8	4032
2534	1	4033
1762	2	4034
2732	19	4035
1894	9	4036
1656	1	4037
123	0	4038
1806	2	4039
2006	4	4040
36	12	4041
405	0	3864
2888	0	3992
1323	2	4042
1786	1	4043
3007	0	4044
3763	2	4045
1738	0	4046
363	2	4047
3199	2	4048
2833	1	4049
1569	4	4050
2635	2	4051
1157	10	4052
2883	0	4053
1886	2	4054
785	2	4055
1179	20	4056
374	4	4057
3367	0	4058
1153	4	4059
1672	9	4036
1891	1	4060
149	2	4061
3412	16	4062
183	4	4063
1473	1	4064
181	2	4065
895	1	4066
1960	1	4067
1983	2	4068
3625	0	4013
2737	1	4069
66	2	4070
1238	0	4071
976	2	4072
948	1	4073
3729	1	3911
646	2	4074
1773	1	3886
3120	1	4075
319	14	4076
2121	0	4077
2070	2	4078
1353	2	4079
1308	2	4080
2682	4	4081
790	2	4082
3738	5	4083
3738	6	4084
436	2	4085
1154	1	4086
1066	4	4087
796	2	3977
400	0	3972
2867	1	4088
2241	7	4089
2241	8	4090
2241	8	4091
682	1	4092
1347	4	3947
3076	0	4093
2803	0	4094
2038	1	4095
3486	2	4096
643	2	4097
1526	1	3937
2802	0	4098
2906	19	4099
2211	2	4100
3390	1	4101
1323	1	4102
3279	0	4103
2295	0	4094
3132	9	4104
204	2	4105
206	2	4106
3381	2	4107
3023	0	4108
2635	1	4109
186	1	4110
115	2	4111
614	9	4112
410	2	4113
1179	21	4114
1989	2	4115
1748	2	4116
2050	1	4117
67	2	4118
2125	2	4119
1473	1	4120
2467	4	4121
3068	9	4122
127	22	127
39	4	4123
279	2	4124
279	1	4125
1845	2	4126
3282	2	4127
3498	2	4128
408	2	4129
974	2	4130
2636	1	4131
2597	2	4132
3821	4	4133
781	4	4134
2460	1	4135
484	1	4136
3738	5	4137
3738	5	4138
3738	6	4139
901	1	4140
2241	7	4141
2241	7	4142
2241	7	4143
2241	7	4144
2241	8	4145
2779	9	4146
1464	1	4147
3440	0	4148
1624	2	4149
1634	0	4150
2731	1	4151
1475	2	4152
2894	3	3851
1241	21	4153
1337	4	4154
3742	1	4155
3579	2	4156
2598	4	4157
3519	4	4158
2658	2	4159
1737	1	4160
206	1	4106
997	1	4161
1776	2	4162
3325	2	4163
186	1	4164
1720	10	4165
1678	0	4166
1246	4	4167
2724	2	4168
1153	1	4169
3746	0	4170
2039	0	4171
67	2	4172
2804	4	4094
2733	2	4173
3087	4	4174
181	4	4175
895	1	4176
1352	1	4177
508	18	4178
1389	9	4179
75	1	4180
437	1	4181
2636	2	4182
3740	0	4183
294	1	4184
602	17	4185
3738	5	4186
3738	5	4187
3738	6	4188
436	2	4189
3452	1	4190
1821	4	4191
2241	7	4192
2241	7	4193
2241	8	4194
516	0	4195
1464	1	4196
777	1	4197
2514	0	3864
643	2	4198
3191	0	4199
865	1	4200
865	1	4201
1806	1	4202
1772	1	4203
3665	4	4204
434	1	4205
3374	1	4206
1496	2	4207
3321	2	4208
3458	1	4209
1310	1	4210
1183	0	4211
997	2	4212
3802	0	4174
1228	2	4213
2104	4	3859
2515	0	4214
2494	2	4215
2150	0	4216
2786	0	4191
149	23	4217
3788	2	4218
67	1	4219
2734	1	4220
2079	24	4221
3404	4	4222
1910	25	4223
2265	0	4224
2270	1	4225
3598	2	4226
30	1	4227
1885	1	4228
2338	2	4229
3498	1	4230
737	26	4231
1974	0	4232
3676	1	4233
1773	2	4234
70	2	4235
2636	1	4236
147	1	4237
2070	2	4238
2070	1	4239
529	1	4240
79	2	4241
484	2	4242
3738	6	4243
1154	2	4244
2241	7	4245
2241	8	4246
2241	8	4247
2241	8	4248
2241	8	4249
2241	8	4250
54	19	4251
777	2	4252
3140	2	4253
498	1	4254
537	27	4255
1152	9	4256
865	2	4201
629	18	4257
538	1	4258
677	9	4259
3049	2	4260
28	0	4261
1965	0	4262
2715	2	4263
3026	1	4264
1332	10	4265
3648	2	4266
2711	2	4267
2919	2	4268
3565	0	4269
601	2	4270
383	2	4271
1053	0	4272
2660	0	4013
